City,Amount,Latitude,Longitude
"Achalpur, India",1606641,21.241444700000002,77.42575731097946
"Adilabad, India",1769464,19.5,78.5
"Adityapur, India",963993,22.792542349999998,86.08551847167897
"Adoni, India",1575355,15.6559189,77.26977367379274
"Adoor, India",647725,9.1581862,76.77326138126125
"Afzalpur, India",864810,17.2005764,76.3605783
"Agartala, India",636562,23.8312377,91.2823821
"Agra, India",285895,27.1752554,78.0098161
"Ahmedabad, India",567794310,23.0216238,72.5797068
"Ahmednagar, India",375289,19.162772500000003,74.85802430085195
"Aizawl, India",1059311,23.7435236,92.7382905
"Ajmer, India",460497,26.454041,74.64046556098174
"Akola, India",1554569,20.7618624,77.19217162524623
"Akot, India",520454,21.0479371,77.05845282299609
"Alappuzha, India",792714,9.5006651,76.41241428564258
"Aligarh, India",1361308,27.833333,78.166667
"Alipurduar, India",1170706,26.4851573,89.5246926
"Alirajpur, India",166684,22.285939550000002,74.35468608752092
"Allahabad, India",910035,25.4381302,81.8338005
"Alwar, India",790466,27.5,76.5
"Amalapuram, India",1157097,16.57950675,81.99732471149382
"Amalner, India",727200,21.075780700000003,75.04286411660418
"Ambejogai, India",1001915,18.70397645,76.44764757324253
"Ambikapur, India",753562,23.1226343,83.1981886
"Amravati, India",1116367,21.15454115,77.64429617998744
"Amreli, India",778693,20.866667,70.75
"Amritsar, India",487429,31.6343083,74.8736788
"Amroha, India",831245,28.9233969,78.48831693262684
"Anakapalle, India",558789,17.68897,83.003476
"Anand, India",596518,22.5584995,72.9625629
"Anantapur, India",789050,14.6546235,77.55625984224562
"Anantnag, India",509772,33.7368773,75.1455138
"Anjangaon, India",1227279,21.1632207,77.3187906
"Anjar, India",387288,23.1194278,70.0363797
"Ankleshwar, India",685030,21.6293206,72.9945103
"Arakkonam, India",639847,13.0839782,79.6700892
"Arambagh, India",1447212,22.8764875,87.7909131
"Araria, India",819243,26.26498795,87.37162648106798
"Arrah, India",490453,25.62345725,84.59683868653386
"Arsikere, India",1467962,13.3137351,76.2531829
"Aruppukkottai, India",834503,9.43599075,78.12022647412451
"Arvi, India",827635,20.936150050000002,78.28921691830388
"Arwal, India",583509,25.180777149999997,84.65920203021554
"Asansol, India",1102027,23.6871297,86.9746587
"Ashok Nagar, India",1483602,13.0400731,80.2159247
"Athni, India",951948,,
"Attingal, India",140430,8.6985965,76.8134401
"Aurangabad, India",1947236,19.877263,75.3390241
"Azamgarh, India",102204,26.02269675,83.02887343114848
"Bagaha, India",224207,27.05901115,84.20646375475478
"Bahadurgarh, India",680825,28.660964800000002,76.83467647083376
"Baharampur, India",1069088,24.1044927,88.2510635
"Bahraich, India",24253,27.7336958,81.47732127661058
"Balaghat, India",770109,21.966667,80.333333
"Balangir, India",430928,20.74978325,83.44097217446247
"Baleshwar Town, India",1004723,21.5017098,86.9216712
"Ballari, India",959599,15.2485413,76.8323648
"Balurghat, India",627521,25.2634866,88.78900293567636
"Bankura, India",861814,23.13195425,87.20739720367507
"Bapatla, India",241667,15.9325935,80.38953423256073
"Baramula, India",1792934,34.566667,74.75
"Barbil, India",1147085,22.06030655,85.39277997446213
"Bargarh, India",445535,21.347763399999998,83.65768298821486
"Baripada Town, India",1125773,21.9330539,86.76682352857506
"Barnala, India",743652,30.3704685,75.504017418548
"Barpeta, India",946864,26.34142215,91.01674328474073
"Batala, India",1219670,31.8193025,75.1999941
"Bathinda, India",2767609,30.17911535,75.04710156312628
"Begusarai, India",522371,25.5127194,86.09057109140021
"Belagavi, India",1317506,15.8572666,74.5069343
"Bellampalle, India",993421,19.0593559,79.52515689790599
"Bengaluru, India",572326739,12.9767936,77.590082
"Bettiah, India",353056,26.791072749999998,84.56010678772793
"Bhabua, India",1248923,25.07634815,83.63359775892343
"Bhadrachalam, India",1133551,17.6688019,80.8940083
