"Achalpur, India",1606641
"Adilabad, India",1769464
"Adityapur, India",963993
"Adoni, India",1575355
"Adoor, India",647725
"Afzalpur, India",864810
"Agartala, India",636562
"Agra, India",285895
"Ahmedabad, India",567794310
"Ahmednagar, India",375289
"Aizawl, India",1059311
"Ajmer, India",460497
"Akola, India",1554569
"Akot, India",520454
"Alappuzha, India",792714
"Aligarh, India",1361308
"Alipurduar, India",1170706
"Alirajpur, India",166684
"Allahabad, India",910035
"Alwar, India",790466
"Amalapuram, India",1157097
"Amalner, India",727200
"Ambejogai, India",1001915
"Ambikapur, India",753562
"Amravati, India",1116367
"Amreli, India",778693
"Amritsar, India",487429
"Amroha, India",831245
"Anakapalle, India",558789
"Anand, India",596518
"Anantapur, India",789050
"Anantnag, India",509772
"Anjangaon, India",1227279
"Anjar, India",387288
"Ankleshwar, India",685030
"Arakkonam, India",639847
"Arambagh, India",1447212
"Araria, India",819243
"Arrah, India",490453
"Arsikere, India",1467962
"Aruppukkottai, India",834503
"Arvi, India",827635
"Arwal, India",583509
"Asansol, India",1102027
"Ashok Nagar, India",1483602
"Athni, India",951948
"Attingal, India",140430
"Aurangabad, India",1947236
"Azamgarh, India",102204
"Bagaha, India",224207
"Bahadurgarh, India",680825
"Baharampur, India",1069088
"Bahraich, India",24253
"Balaghat, India",770109
"Balangir, India",430928
"Baleshwar Town, India",1004723
"Ballari, India",959599
"Balurghat, India",627521
"Bankura, India",861814
"Bapatla, India",241667
"Baramula, India",1792934
"Barbil, India",1147085
"Bargarh, India",445535
"Baripada Town, India",1125773
"Barnala, India",743652
"Barpeta, India",946864
"Batala, India",1219670
"Bathinda, India",2767609
"Begusarai, India",522371
"Belagavi, India",1317506
"Bellampalle, India",993421
"Bengaluru, India",572326739
"Bettiah, India",353056
"Bhabua, India",1248923
"Bhadrachalam, India",1133551
"Bhadrak, India",1835165
"Bhagalpur, India",631741
"Bhainsa, India",978723
"Bharatpur, India",1425492
"Bharuch, India",1409103
"Bhatapara, India",472560
"Bhavnagar, India",730015
"Bhawanipatna, India",174346
"Bheemunipatnam, India",1170772
"Bhilai Nagar, India",1006225
"Bhilwara, India",923912
"Bhimavaram, India",433281
"Bhiwandi, India",557886
"Bhiwani, India",274621
"Bhongir, India",1425469
"Bhopal, India",500891
"Bhubaneswar, India",699280
"Bhuj, India",1260630
"Bikaner, India",1425067
"Bilaspur, India",443215
"Bobbili, India",492162
"Bodhan, India",969270
"Bokaro Steel City, India",859773
"Bongaigaon City, India",982140
"Brahmapur, India",539133
"Buxar, India",1157138
"Byasanagar, India",997298
"Chaibasa, India",663824
"Chalakudy, India",567873
"Chandausi, India",432123
"Chandigarh, India",432233
"Changanassery, India",30074
"Charkhi Dadri, India",1459379
"Chatra, India",1034340
"Chennai, India",114730600
"Cherthala, India",606799
"Chikkamagaluru, India",427124
"Chilakaluripet, India",1545309
"Chirala, India",835642
"Chirkunda, India",492615
"Chirmiri, India",1140160
"Chittoor, India",976573
"Chittur-Thathamangalam, India",801860
"Cuttack, India",912617
"Dalli-Rajhara, India",1859041
"Darbhanga, India",1726490
"Darjiling, India",859471
"Davanagere, India",1711942
"Deesa, India",524557
"Dehradun, India",1009352
"Dehri-on-Sone, India",1389102
"Delhi, India",556929212
"Deoghar, India",959797
"Dhamtari, India",425241
"Dhanbad, India",875564
"Dharmanagar, India",1005801
"Dharmavaram, India",499688
"Dhenkanal, India",438125
"Dhoraji, India",253121
"Dhubri, India",1101754
"Dhule, India",962660
"Dhuri, India",898151
"Dibrugarh, India",1129413
"Dimapur, India",1271920
"Diphu, India",1996886
"Dumka, India",885038
"Dumraon, India",1116851
"Durg, India",259705
"Eluru, India",566405
"English Bazar, India",522328
"Erode, India",1347120
"Etawah, India",889854
"Faridabad, India",807447
"Faridkot, India",736267
"Farooqnagar, India",1045298
"Fatehabad, India",779766
"Fatehpur Sikri, India",2204376
"Fazilka, India",14949
"Firozabad, India",706178
"Firozpur Cantt., India",1040099
"Firozpur, India",389791
"Forbesganj, India",331431
"Gadwal, India",713058
"Gangarampur, India",1252605
"Ganjbasoda, India",223901
"Gaya, India",542539
"Giridih, India",947517
"Goalpara, India",796227
"Gobichettipalayam, India",1342694
"Gobindgarh, India",1156703
"Godhra, India",121637
"Gohana, India",515578
"Gokak, India",1397274
"Gooty, India",507686
"Gopalganj, India",603304
"Greater Mumbai, India",576751476
"Gudivada, India",1015533
"Gudur, India",1082401
"Gumia, India",875775
"Guntakal, India",224886
"Guntur, India",971660
"Gurdaspur, India",749797
"Gurgaon, India",1959098
"Guwahati, India",1230416
"Gwalior, India",1247031
"Habra, India",1000473
"Hajipur, India",1587327
"Haldwani-cum-Kathgodam, India",1203970
"Hansi, India",545453
"Hapur, India",943941
"Hardoi , India",435739
"Hardwar, India",951487
"Hazaribag, India",735657
"Hindupur, India",1106438
"Hisar, India",1741804
"Hoshiarpur, India",592445
"Hubli-Dharwad, India",1379495
"Hugli-Chinsurah, India",171822
"Hyderabad, India",114493477
"Ichalkaranji, India",1240273
"Imphal, India",1533801
"Indore, India",772769
"Itarsi, India",903062
"Jabalpur, India",590254
"Jagdalpur, India",1825991
"Jaggaiahpet, India",600552
"Jagraon, India",1551497
"Jagtial, India",1159416
"Jaipur, India",111136855
"Jalandhar Cantt., India",809823
"Jalandhar, India",1595649
"Jalpaiguri, India",722298
"Jamalpur, India",913702
"Jammalamadugu, India",1867345
"Jammu, India",1811802
"Jamnagar, India",1401026
"Jamshedpur, India",1632722
"Jamui, India",994470
"Jangaon, India",1206850
